dataset,fold,n_features,train_score,val_score,test_score,metric
mitbih,1,14,0.9985008994603238,0.9883073079325422,0.9876080547644032,accuracy
mitbih,1,15,0.9985258844693184,0.9886570893191755,0.9879078598910708,accuracy
mitbih,1,16,0.9986508095142914,0.9889319175515303,0.9879578274121821,accuracy
mitbih,2,1,0.8566859884069559,0.8562898188632105,0.8573427272273022,accuracy
mitbih,2,2,0.9450079952028783,0.9368144909431605,0.9360415729775646,accuracy
mitbih,2,3,0.9712422546472117,0.9644722048719551,0.9606755608854245,accuracy
mitbih,2,4,0.981611033379972,0.9730668332292317,0.9712686753610154,accuracy
mitbih,2,5,0.9875574655206876,0.978213616489694,0.9746664667965822,accuracy
mitbih,2,6,0.9920547671397162,0.981311680199875,0.9784639984010394,accuracy
mitbih,2,7,0.9934789126524085,0.9831855090568394,0.9801628941188227,accuracy
mitbih,2,8,0.9947031780931441,0.9845346658338539,0.9812122120621596,accuracy
mitbih,2,9,0.9958275034979013,0.9854341036851968,0.9820616599210513,accuracy
mitbih,2,10,0.9965270837497502,0.9864584634603373,0.9840103932443911,accuracy
mitbih,2,11,0.9968768738756746,0.9870580886945659,0.984160295807725,accuracy
mitbih,2,12,0.9971517089746152,0.9875327920049969,0.9851096787088393,accuracy
mitbih,2,13,0.9973765740555667,0.9879575265459088,0.9853595163143957,accuracy
mitbih,2,14,0.9973016190285828,0.9883322923173017,0.9856093539199521,accuracy
mitbih,3,1,0.864684572142411,0.861786383510306,0.8619828103138117,accuracy
mitbih,3,2,0.9364647095565272,0.9311430356027482,0.9325904457325604,accuracy
mitbih,3,3,0.9716177389131793,0.9619237976264835,0.9624225464721168,accuracy
mitbih,3,4,0.9827108057464085,0.9721923797626484,0.9714171497101739,accuracy
mitbih,3,5,0.9877826358525922,0.9759650218613367,0.9755146911852888,accuracy
mitbih,3,6,0.9913554028732042,0.9793379138038726,0.9781631021387168,accuracy
mitbih,3,7,0.9927795128044972,0.9810118675827608,0.9798620827503498,accuracy
mitbih,3,8,0.9947033104309806,0.9833354153653966,0.9815110933439936,accuracy
mitbih,3,9,0.9961773891317927,0.9846096189881324,0.9840595642614431,accuracy
mitbih,3,10,0.997001873828857,0.9861836352279825,0.9849590245852489,accuracy
mitbih,3,11,0.9977763897564023,0.9874578388507183,0.9856086348191085,accuracy
mitbih,3,12,0.9981511555277951,0.9877576514678326,0.9867579452328603,accuracy
mitbih,3,13,0.9983510306058714,0.988107432854466,0.9872076753947632,accuracy
mitbih,3,14,0.9982261086820737,0.9881324172392255,0.9880571657005797,accuracy
mitbih,3,15,0.9982760774515927,0.9884322298563398,0.9877073755746552,accuracy
mitbih,3,16,0.9986258588382261,0.9888069956277327,0.988157105736558,accuracy
mitbih,3,17,0.9989506558400999,0.9892067457838851,0.9887067759344393,accuracy
mitbih,3,18,0.9988507183010619,0.9892816989381636,0.9887567459524286,accuracy
mitbih,3,19,0.999050593379138,0.9894066208619613,0.9889066560063962,accuracy
mitbih,4,1,0.8604622111180512,0.8561648969394129,0.8561862882270638,accuracy
mitbih,4,2,0.9362148657089319,0.9262460961898813,0.9297421547071757,accuracy
mitbih,4,3,0.9729169269206746,0.9645721424109931,0.9663701778932641,accuracy
mitbih,4,4,0.981686445971268,0.9721923797626484,0.9742654407355587,accuracy
mitbih,4,5,0.9882573391630232,0.9770393504059962,0.9780631621027384,accuracy
mitbih,4,6,0.9917301686445972,0.9800874453466584,0.9814111533080152,accuracy
mitbih,4,7,0.9936289818863211,0.982161149281699,0.983060163901659,accuracy
mitbih,4,8,0.9953529044347283,0.9837851342910681,0.9844593244053568,accuracy
mitbih,4,9,0.9955527795128045,0.984634603372892,0.9861083349990006,accuracy
mitbih,4,10,0.996577139287945,0.9859337913803873,0.9870077953228064,accuracy
mitbih,4,11,0.9967770143660213,0.9861336664584635,0.9864081551069358,accuracy
mitbih,4,12,0.9968019987507808,0.9864584634603373,0.9873076154307415,accuracy
mitbih,4,13,0.9973266708307308,0.9868082448469706,0.9879072556466121,accuracy
mitbih,4,14,0.9975515302935665,0.9872329793878826,0.9882570457725365,accuracy
mitbih,4,15,0.9977264209868832,0.9874578388507183,0.9883070157905257,accuracy
mitbih,4,16,0.9977514053716428,0.987632729544035,0.9880071956825904,accuracy
mitbih,4,17,0.9978013741411618,0.9878575890068707,0.9880571657005797,accuracy
mitbih,4,18,0.9980512179887571,0.9878825733916302,0.9877573455926444,accuracy
mitbih,4,19,0.9980512179887571,0.9880574640849469,0.9895062962222666,accuracy
