dataset,variant,fold,score,n_features,time,metric,test_subject
azt1d_s2,raw_only,1,36.65326760777533,10,34.81563210487366,rmse,
azt1d_s2,nsga2,1,36.21369502322504,18,71.14898014068604,rmse,
azt1d_s2,parallel,1,37.68307238316303,12,9.39440894126892,rmse,
azt1d_s3,resampling,1,27.550070646965125,8,27.63190197944641,rmse,
azt1d_s3,aggregate,1,26.814579988949657,11,41.461472034454346,rmse,
azt1d_s3,pattern,1,27.20996578303095,14,62.73217988014221,rmse,
azt1d_s3,decision_tree,1,28.15393070320149,12,18.377729892730713,rmse,
azt1d_s3,n_trials_1000,1,28.092237629108645,13,188.94348692893985,rmse,
azt1d_s3,raw_only,1,27.83931174275,11,40.98345422744751,rmse,
azt1d_s3,nsga2,1,27.340741037651483,14,50.64875602722168,rmse,
azt1d_s3,parallel,1,26.242252141033624,12,9.466018199920654,rmse,
azt1d_s4,resampling,1,30.269041875214853,10,38.17121601104736,rmse,
azt1d_s4,aggregate,1,30.590000162803495,9,33.05417275428772,rmse,
azt1d_s4,pattern,1,30.72218729567984,9,32.86373019218445,rmse,
azt1d_s4,decision_tree,1,33.16160474230335,12,16.31445288658142,rmse,
azt1d_s4,n_trials_1000,1,30.39572642178254,13,172.9714479446411,rmse,
azt1d_s4,raw_only,1,30.286520352017774,13,46.643930196762085,rmse,
azt1d_s4,nsga2,1,30.764316837560596,11,34.32022213935852,rmse,
azt1d_s4,parallel,1,30.473657323734383,12,8.619258880615234,rmse,
azt1d_s5,resampling,1,27.596552652848217,10,34.91832184791565,rmse,
azt1d_s5,aggregate,1,26.619968613168567,15,58.11000108718872,rmse,
azt1d_s5,pattern,1,26.690804318674523,19,90.24808669090272,rmse,
azt1d_s5,decision_tree,1,28.108827362648267,14,21.29179811477661,rmse,
azt1d_s5,n_trials_1000,1,26.5273046018216,14,195.41456174850464,rmse,
azt1d_s5,raw_only,1,27.82694894008755,10,33.79658484458923,rmse,
azt1d_s5,nsga2,1,27.2361920563027,11,34.66646385192871,rmse,
azt1d_s5,parallel,1,26.6314437943778,12,8.673140048980713,rmse,
azt1d_s6,resampling,1,23.20130877050692,7,21.431602954864506,rmse,
azt1d_s6,aggregate,1,24.200338588312174,15,55.45423102378845,rmse,
azt1d_s6,pattern,1,24.396943498694696,14,58.47749996185303,rmse,
azt1d_s6,decision_tree,1,26.181860070593743,11,14.71676516532898,rmse,
azt1d_s6,n_trials_1000,1,23.459949930624447,9,107.84476113319396,rmse,
azt1d_s6,raw_only,1,23.89731402443593,11,37.626790285110474,rmse,
azt1d_s6,nsga2,1,23.6302950237639,11,33.86954379081726,rmse,
azt1d_s6,parallel,1,23.751339165256788,12,8.589668989181519,rmse,
azt1d_s7,resampling,1,26.346291136589414,13,48.57654595375061,rmse,
azt1d_s7,aggregate,1,27.378295366945967,13,48.961698055267334,rmse,
azt1d_s7,pattern,1,27.7726438154729,8,29.21247887611389,rmse,
azt1d_s7,decision_tree,1,30.65752217064487,7,8.671838998794556,rmse,
azt1d_s7,n_trials_1000,1,27.62260414752706,13,176.3806219100952,rmse,
azt1d_s7,raw_only,1,27.192187194824957,11,38.70515775680542,rmse,
azt1d_s7,nsga2,1,26.78520821354613,17,61.31382775306702,rmse,
azt1d_s7,parallel,1,26.946181874727987,12,8.676635980606079,rmse,
azt1d_s8,resampling,1,36.463359732453426,9,25.530574083328247,rmse,
azt1d_s8,aggregate,1,37.18858880812268,13,41.74669909477234,rmse,
azt1d_s8,pattern,1,36.28989623175517,14,49.7146258354187,rmse,
